match_id,player,opponent,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,unforced,serve_gap,match_date,start_time,gender,competition,level,surface,round,player_id,opponent_id,won,winning_reason
20250821-men-US_Open_Men_Singles-qualification_round_2-Beibit_Zhukayev-Zachary_Svajda,Zachary Svajda,Beibit Zhukayev,Total,68.0,4.0,3.0,37.0,30.0,31.0,16.0,3.0,2.0,64.0,27.0,,,0.0,20250821,2025-08-21 19:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:501672,sr:competitor:286541,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Bernard_Tomic-Henrique_Rocha,Bernard Tomic,Henrique Rocha,Total,79.0,4.0,1.0,63.0,41.0,16.0,6.0,5.0,2.0,89.0,32.0,,,0.0,20250821,2025-08-21 19:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:17080,sr:competitor:682913,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Bernard_Tomic-Henrique_Rocha,Henrique Rocha,Bernard Tomic,Total,89.0,8.0,2.0,66.0,42.0,23.0,15.0,6.0,5.0,79.0,32.0,,,0.0,20250821,2025-08-21 19:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:682913,sr:competitor:17080,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Billy_Harris-Mikhail_Kukushkin,Billy Harris,Mikhail Kukushkin,Total,83.0,6.0,1.0,62.0,43.0,21.0,14.0,5.0,3.0,99.0,41.0,,,0.0,20250821,2025-08-21 19:15:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:111837,sr:competitor:16683,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Billy_Harris-Mikhail_Kukushkin,Mikhail Kukushkin,Billy Harris,Total,99.0,1.0,1.0,64.0,43.0,35.0,15.0,10.0,4.0,83.0,26.0,,,0.0,20250821,2025-08-21 19:15:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:16683,sr:competitor:111837,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Fajing_Sun-Lloyd_Harris,Fajing Sun,Lloyd Harris,Total,56.0,2.0,3.0,35.0,20.0,21.0,6.0,9.0,5.0,44.0,10.0,,,0.0,20250821,2025-08-21 19:35:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:163438,sr:competitor:157808,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Fajing_Sun-Lloyd_Harris,Lloyd Harris,Fajing Sun,Total,44.0,9.0,1.0,27.0,22.0,17.0,12.0,1.0,1.0,56.0,30.0,,,0.0,20250821,2025-08-21 19:35:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:157808,sr:competitor:163438,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Kyrian_Jacquet-Jason_Kubler,Kyrian Jacquet,Jason Kubler,Total,73.0,5.0,8.0,50.0,31.0,23.0,9.0,12.0,9.0,45.0,9.0,,,0.0,20250821,2025-08-21 19:50:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:382058,sr:competitor:39726,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Kyrian_Jacquet-Jason_Kubler,Jason Kubler,Kyrian Jacquet,Total,45.0,1.0,2.0,30.0,26.0,15.0,10.0,0.0,0.0,73.0,33.0,,,0.0,20250821,2025-08-21 19:50:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:39726,sr:competitor:382058,True,
20250821-men-ATP_Winston_Salem__USA_Men_Singles-quarterfinal-Jaume_Munar-Marton_Fucsovics,Jaume Munar,Marton Fucsovics,Total,63.0,5.0,1.0,38.0,22.0,25.0,9.0,9.0,3.0,52.0,20.0,,,0.0,20250821,2025-08-21 20:00:00+00:00,men,"ATP Winston Salem, USA Men Singles",atp_250,,quarterfinal,sr:competitor:126356,sr:competitor:47770,False,
